geo.growth,temp,chl,current
0.022140672,12.15498802,1.772549262,1.023867804
0.13766518,10.41907111,1.817187953,2.230128176
0.071491118,13.05105525,1.811117671,1.88335001
0.190035043,12.66482895,1.819650971,2.433210045
0.173377189,13.35653161,1.824779882,2.330130561
0.270145888,12.16485239,1.80978276,3.495209363
0.141131863,10.35910565,1.901794459,2.241130205
0.071486628,14.68089214,1.7886936,1.720279875
0.234105361,10.16785992,1.831182512,2.550006824
0.054717915,9.003926747,1.863522001,1.599688303
0.032237097,12.38709817,1.778697493,0.227029005
0.150601009,12.90675496,1.825248371,-0.419553885
0.182138965,13.21687741,1.776062915,-1.19511092
0.194144288,13.24541487,1.709639176,-1.327766776
0.195378337,12.44197699,1.801800768,-1.37878147
0.151682002,11.77101251,1.704312498,-0.536129692
0.107309862,10.55923128,1.889900099,2.058485332
0.087941683,10.55923128,1.662927102,-3.848056836
0.090715116,10.65717411,1.823525865,-0.126356317
0.027889499,8.380475412,1.763808485,0.284268807
0.277900339,14.57459881,1.855385672,3.773870665
0.174535254,12.82266866,1.784460637,2.35872269
0.206389235,14.42239954,1.838653732,2.526456213
0.032040837,8.89327823,1.883775701,1.384151996
0.001790453,6.252670528,1.788917811,0.568319008
0.092617376,10.76428268,1.842494939,1.941946543
0.320461999,14.95380068,1.854255102,4.017063224
0.401729978,16.18747667,1.82095352,6.300387838
0.388044055,15.11846487,1.889041025,1.976781648
0.011470163,7.89047492,1.838634364,0.45495187
0.271030332,13.53793432,1.864008556,-3.568210793
0.096680145,10.98675122,1.831027445,2.684408351
0.254791741,15.25685572,1.875247335,2.875314629
0.127153987,12.03896728,1.818450042,2.193130271
0.109579544,11.81337694,1.816053407,2.116430734
0.151879422,12.49260135,1.877103322,2.28115226
0.014577593,8.016362894,1.808764552,0.34717426
0.266414723,13.24541487,1.815788023,3.267430064
0.347063677,15.04513833,1.85592663,4.712239654
0.398071445,15.25685572,1.83460045,5.439299746
0.343549363,15.01515284,1.897543547,4.408314021
0.220887117,14.57459881,1.847747629,2.53134898
0.24589528,15.11846487,1.906054811,2.86838062
0.260756894,13.21687741,1.8423744,2.929011659
0.11296054,11.95313638,1.839448353,2.185101835
0.029478843,8.414224203,1.786200052,1.241348168
0.013549441,7.981082665,1.858977522,0.445674111
0.276721291,14.42239954,1.867258691,3.715119581
0.098821401,11.07757068,1.839582624,1.958608056
0.07395815,10.47613381,1.788494083,-0.098596098
0.237156996,15.01515284,1.822966143,2.684408351
0.088981378,10.65071703,1.835912293,-0.108716496
0.105527468,11.64239079,1.869362796,1.966781648
0.043893994,10.06212934,1.79691878,1.3990818
0.200526316,13.35653161,1.862331358,2.516393228
0.075906885,10.53120736,1.747853877,-0.102121764
0.307959257,14.68089214,1.776863354,0.792376781
0.23722291,15.04513833,1.863886338,2.845860365
0.042597924,9.743522658,1.787280777,-0.058755193
0.204788659,13.53793432,1.739227771,-1.416820802
0.05481116,10.32232086,1.880015335,1.607706611
0.235238611,14.95380068,1.73771315,-1.694546021
0.009618906,7.435933532,1.861821807,0.517144964
